Tue Sep 15 15:35:33 2026    profiles/pbmc3k_rank_genes_groups.prof

         42155 function calls (40996 primitive calls) in 1.811 seconds

   Ordered by: internal time
   List reduced from 1031 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    1.337    0.334    1.337    0.334 algorithms.py:1067(rank)
       53    0.089    0.002    0.089    0.002 take.py:120(_take_nd_ndarray)
        4    0.077    0.019    0.077    0.019 {built-in method scipy.sparse._sparsetools.csr_todense}
        8    0.076    0.010    0.076    0.010 {built-in method scipy.sparse._sparsetools.csr_column_index2}
        1    0.035    0.035    0.035    0.035 __init__.py:781(_check_nonnegative_integers_in_mem)
      270    0.034    0.000    0.034    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       22    0.018    0.001    0.018    0.001 missing.py:261(_isna_array)
        5    0.014    0.003    1.435    0.287 _rank_genes_groups.py:45(_ranks)
        8    0.010    0.001    0.010    0.001 {built-in method scipy.sparse._sparsetools.csr_column_index1}
        8    0.010    0.001    0.010    0.001 _utils.py:47(sparse_mean_variance_axis)
       23    0.009    0.000    0.009    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        5    0.006    0.001    1.704    0.341 _rank_genes_groups.py:277(wilcoxon)
       90    0.005    0.000    0.006    0.000 numeric.py:1330(normalize_axis_tuple)
       16    0.005    0.000    0.065    0.004 frame.py:11462(_reduce)
        4    0.005    0.001    0.005    0.001 {built-in method scipy.sparse._sparsetools.get_csr_submatrix}
       23    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
       99    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      328    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x1500f624dfe0}
        1    0.003    0.003    1.755    1.755 _rank_genes_groups.py:398(compute_statistics)
       23    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.002    0.002    0.002    0.002 {built-in method scipy.sparse._sparsetools.csr_eliminate_zeros}
6276/6249    0.002    0.000    0.004    0.000 {built-in method builtins.isinstance}
        5    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
       92    0.001    0.000    0.001    0.000 base.py:5385(__getitem__)
       23    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       20    0.001    0.000    0.002    0.000 multi.py:1194(_engine)
       23    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
3093/2508    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       16    0.001    0.000    0.017    0.001 nanops.py:1499(_maybe_null_out)
       45    0.001    0.000    0.007    0.000 function_base.py:5369(insert)
        4    0.001    0.000    0.001    0.000 _continuous_distns.py:370(_norm_cdf)
       52    0.001    0.000    0.002    0.000 multi.py:3001(get_loc)
       60    0.001    0.000    0.003    0.000 construction.py:517(sanitize_array)
       84    0.001    0.000    0.001    0.000 generic.py:6258(__finalize__)
       56    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
       27    0.001    0.000    0.003    0.000 base.py:475(__new__)
       79    0.001    0.000    0.001    0.000 managers.py:180(blknos)
       40    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
      170    0.001    0.000    0.001    0.000 base.py:650(_simple_new)
       20    0.001    0.000    0.001    0.000 _sputils.py:264(get_index_dtype)
        4    0.000    0.000    0.002    0.000 _distn_infrastructure.py:2216(sf)
     1049    0.000    0.000    0.001    0.000 generic.py:42(_instancecheck)
       94    0.000    0.000    0.001    0.000 generic.py:281(__init__)
      200    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
     1660    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        5    0.000    0.000    0.003    0.001 records.py:588(fromarrays)
    128/5    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     1049    0.000    0.000    0.001    0.000 generic.py:37(_check)
       23    0.000    0.000    0.001    0.000 utils.py:239(maybe_convert_indices)
        4    0.000    0.000    0.005    0.001 multitest.py:99(multipletests)


